type,section,name,intro,grade,visible,completion,completionview,timeopen,timeclose
section,Course Overview,Course Overview,,,1,0,0,,
label,Course Overview,Course Welcome & Syllabus Overview,"<div><h2>Welcome to Physics for Young Scientists!</h2><p>Physics is the study of how everything in the universe works—from the motion of rollercoasters and race cars to the energy powering stars and the electricity in your smartphone.</p><h3>Course Roadmap & Units:</h3><ul><li><strong>Unit 1: Motion, Speed & Acceleration</strong> — Distance, speed, velocity-time graphs, and freefall.</li><li><strong>Unit 2: Forces & Newton's Laws</strong> — Gravity, friction, inertia, F = ma, and rocket propulsion.</li><li><strong>Unit 3: Energy, Work & Power</strong> — Kinetic and potential energy, conservation of energy, and green power.</li><li><strong>Unit 4: Waves, Light & Sound</strong> — Wave mechanics, sound pitch/echoes, and the electromagnetic spectrum.</li><li><strong>Unit 5: Electricity & Magnetism</strong> — Static charge, Ohm's law, series/parallel circuits, and electromagnets.</li></ul><p><strong>Assessment Structure:</strong> Each unit includes 3 interactive lessons, 1 auto-graded quiz (50 pts), 1 hands-on engineering assignment (100 pts), and 1 collaborative discussion forum.</p></div>",,1,0,0,,
section,Unit 1: Motion and Speed,Unit 1: Motion and Speed,,,1,0,0,,
label,Unit 1: Motion and Speed,"UNIT 1: Motion, Speed & Acceleration — The Science of Moving Objects","<div><h3>UNIT 1: Motion, Speed & Acceleration — The Science of Moving Objects</h3><p>Understand scalars vs. vectors, calculate speed and velocity, interpret distance-time and velocity-time graphs, and solve acceleration problems.</p><p><strong>Pacing:</strong> Weeks 1–3 (Estimated 6–8 study hours)</p></div>",,1,0,0,,
page,Unit 1: Motion and Speed,"Lesson 1 — Distance, Displacement and Speed","<div><p><em>Learn how physicists describe motion, distinguish between distance and displacement, and master the speed formula.</em></p><h3>Learning Objectives</h3><ul><li>Distinguish between scalar quantities (distance, speed) and vector quantities (displacement, velocity).</li><li>Calculate average speed using the formula s = d / t and convert between m/s and km/h.</li><li>Interpret real-world motion scenarios including athletic sprints, cars, and animal speeds.</li></ul><h3>Lesson Content</h3><p>Everything in the universe is constantly moving—from the electrons orbiting an atom to the Earth orbiting the Sun. To describe motion precisely, physicists use specific measurements:</p><h4>1. Distance vs. Displacement</h4><ul><li><strong>Distance (scalar):</strong> The total ground covered regardless of direction (e.g., walking 400 m around a running track).</li><li><strong>Displacement (vector):</strong> The straight-line distance from starting point to endpoint with direction (e.g., 0 m if you finish where you started).</li></ul><h4>2. The Speed Formula</h4><p>Speed is the rate at which an object covers distance:</p><p style='background-color:#f0f4f8;padding:10px;border-left:4px solid #1976d2;'><strong>Formula:</strong> Speed = Distance / Time (s = d / t)<br><strong>SI Unit:</strong> meters per second (m/s) or kilometers per hour (km/h).<br><em>Conversion Tip:</em> To convert km/h to m/s, divide by 3.6 (e.g., 72 km/h = 20 m/s).</p><h4>3. Worked Example</h4><p><strong>Problem:</strong> Usain Bolt ran 100 meters in 9.58 seconds. What was his average speed?</p><p><strong>Solution:</strong> s = 100 m / 9.58 s = 10.44 m/s (approx. 37.6 km/h).</p><h4>4. Differentiation & Extension</h4><p><strong>Support:</strong> Use the formula triangle (d on top; s and t on bottom) to rearrange for time (t = d/s) or distance (d = s × t).<br><strong>Extension:</strong> Calculate instantaneous speed vs. average speed on a trip with traffic stops.</p></div>",,0,2,1,,
page,Unit 1: Motion and Speed,Lesson 2 — Acceleration and Motion Graphs,"<div><p><em>Master acceleration calculations and learn to read distance-time and velocity-time graphs like a data scientist.</em></p><h3>Learning Objectives</h3><ul><li>Define acceleration as the rate of change of velocity (a = (v - u) / t).</li><li>Interpret the slope and area under distance-time and velocity-time graphs.</li><li>Calculate acceleration, deceleration, and distance traveled from motion graphs.</li></ul><h3>Lesson Content</h3><p>When an object speeds up, slows down, or changes direction, it is <strong>accelerating</strong>. Acceleration measures how quickly velocity changes.</p><h4>1. The Acceleration Equation</h4><p style='background-color:#f0f4f8;padding:10px;border-left:4px solid #1976d2;'><strong>Formula:</strong> Acceleration = (Final Velocity - Initial Velocity) / Time<br>a = (v - u) / t<br><strong>SI Unit:</strong> meters per second squared (m/s²).<br><em>Note:</em> A negative acceleration value indicates <strong>deceleration</strong> (slowing down).</p><h4>2. Reading Distance-Time (d-t) Graphs</h4><ul><li><strong>Horizontal flat line:</strong> Object is stationary (at rest).</li><li><strong>Straight sloped line:</strong> Constant speed (the steeper the line, the faster the speed).</li><li><strong>Curving upwards:</strong> Accelerating (increasing speed).</li><li><strong>Slope calculation:</strong> Slope = Rise / Run = Δd / Δt = Speed.</li></ul><h4>3. Reading Velocity-Time (v-t) Graphs</h4><ul><li><strong>Horizontal line:</strong> Moving at constant velocity (acceleration = 0).</li><li><strong>Straight upward slope:</strong> Uniform acceleration.</li><li><strong>Downward slope:</strong> Uniform deceleration.</li><li><strong>Area under the graph:</strong> Represents the <strong>total distance traveled</strong>!</li></ul><h4>4. Worked Example</h4><p>An electric vehicle accelerates from rest (0 m/s) to 25 m/s in 5 seconds. What is its acceleration?<br>a = (25 - 0) / 5 = 5 m/s².</p></div>",,0,2,1,,
page,Unit 1: Motion and Speed,Lesson 3 — Physics in Action: Rollercoasters and Free Fall,"<div><p><em>Explore the physics of theme park rollercoasters, gravitational free fall, and terminal velocity.</em></p><h3>Learning Objectives</h3><ul><li>Explain gravitational acceleration (g = 9.8 m/s²) on Earth.</li><li>Describe terminal velocity in terms of balanced gravitational force and air resistance.</li><li>Analyze motion changes across loops, drops, and braking sections on a rollercoaster.</li></ul><h3>Lesson Content</h3><p>Theme parks are gigantic physics laboratories designed to manipulate human perception of motion and acceleration!</p><h4>1. Free Fall & Acceleration due to Gravity</h4><p>When an object falls under the influence of Earth's gravity alone (ignoring air resistance), it accelerates downward at approximately <strong>9.8 m/s²</strong> (often rounded to 10 m/s² in introductory physics). This means every second, its downward speed increases by 9.8 m/s!</p><h4>2. Terminal Velocity</h4><p>As a skydiver falls:</p><ol><li>Initially, gravity is greater than air resistance → the diver accelerates downward.</li><li>As speed increases, upward air resistance (drag) increases.</li><li>Eventually, upward air drag equals downward gravitational force → net force becomes zero.</li><li>The diver falls at a steady maximum speed called <strong>terminal velocity</strong> (~55 m/s or 200 km/h with a closed posture).</li></ol><h4>3. Rollercoaster Dynamics</h4><p>On a drop tower or first drop of a coaster, riders experience near-weightlessness (low g-force), whereas at the bottom of a loop, the track pushes up creating high g-forces (up to 3g–4g).</p><h4>4. Key Takeaways Checklist</h4><ul><li>✓ Speed is scalar; Velocity is vector.</li><li>✓ Slope of d-t graph = Speed; Slope of v-t graph = Acceleration.</li><li>✓ Area under v-t graph = Total distance.</li></ul></div>",,0,2,1,,
quiz,Unit 1: Motion and Speed,Unit 1 Quiz — Motion and Speed,5 auto-marked conceptual and calculation questions covering Unit 1: Motion and Speed.,50,0,2,1,,
assign,Unit 1: Motion and Speed,Unit 1 Assignment — Rollercoaster Kinematics Design Challenge,"<p><strong>Mission Brief:</strong> You have been hired by ThrillTech Amusement Parks to design a new launch rollercoaster called 'The HyperBolt'.</p><h4>Task Requirements:</h4><ol><li><strong>Track Breakdown:</strong> Outline 3 distinct sections of your coaster: (A) The initial launch acceleration, (B) The peak hill and main drop, and (C) The final magnetic brake zone.</li><li><strong>Kinematic Calculations:</strong><ul><li>Calculate the acceleration if the coaster launches from 0 to 24 m/s in 3.0 seconds.</li><li>Calculate the average speed if the total 600-meter track takes 40 seconds to complete.</li><li>Calculate the deceleration if the coaster stops from 20 m/s in 4.0 seconds at the brake run.</li></ul></li><li><strong>Graph Sketch & Explanation:</strong> Describe the expected Velocity-Time graph of the entire 40-second ride.</li></ol><h3>Grading Rubric (Total: 100 Points)</h3><table border='1' cellpadding='7' style='border-collapse:collapse;width:100%'><thead><tr><th>Criteria</th><th>Exemplary (4)</th><th>Proficient (3)</th><th>Developing (2)</th><th>Beginning (1)</th></tr></thead><tbody><tr><td><strong>Calculations & Units (30 pts)</strong></td><td>All math steps clear with accurate SI units (m/s, m/s²).</td><td>Calculations correct with minor unit omissions.</td><td>Partially correct calculations with arithmetic errors.</td><td>Incorrect equations used without units.</td></tr><tr><td><strong>Physics Concepts (30 pts)</strong></td><td>Accurately connects speed, acceleration, and g-forces.</td><td>Good explanation of acceleration and speed.</td><td>Basic understanding with minor misconceptions.</td><td>Confuses speed and acceleration.</td></tr><tr><td><strong>Graph Description (20 pts)</strong></td><td>Clear, accurate description of slope and area under curve.</td><td>Accurate description of major graph sections.</td><td>Incomplete graph analysis.</td><td>Missing or inaccurate graph description.</td></tr><tr><td><strong>Creativity & Clarity (20 pts)</strong></td><td>Professional formatting, highly engaging theme.</td><td>Well organized and easy to read.</td><td>Somewhat disorganized.</td><td>Incomplete submission.</td></tr></tbody></table>",100,0,1,0,,
forum,Unit 1: Motion and Speed,Unit 1: Motion and Speed Discussion,"<div><h3>Discussion Prompt</h3><blockquote>Consider two vehicles: A lightweight electric car that accelerates from 0 to 100 km/h in 3.2 seconds, and a diesel train with a top speed of 250 km/h that takes 3 minutes to reach top speed. In what everyday scenarios is acceleration more valuable than top speed, and why? Support your answer with physics concepts from this unit.</blockquote><p><strong>Teacher Facilitation Notes:</strong> Encourage students to cite specific laws/formulas from the lessons and respectfully evaluate peer responses.</p></div>",,0,1,0,,
