type,section,name,intro,grade,visible,completion,completionview,timeopen,timeclose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,Course Welcome,Course Welcome,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Course Welcome,Welcome to Grade 4 — OnScholars,<div style='background:#1a1a1a,color:#fff,padding:18px,border-left:5px solid #E4002B'><div style='color:#E4002B,font-size:11px,font-weight:bold,letter-spacing:2px'>✦ ONSCHOLARS · GRADE 4 ONTARIO CURRICULUM</div><h2 style='color:#fff,margin:8px 0 4px'>Grade 4 — All Subjects</h2><p style='color:#ccc,margin:0'>This course covers all nine Ontario curriculum subjects with Islamic Tarbiyah values integrated throughout. Content becomes visible unit by unit as your teacher reviews and approves it. Subjects: Language Arts · Mathematics · Science · Social Studies · HPE · The Arts · French · Islamic Studies · Arabic Language</p></div>,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Course Welcome,Parent Information,"<div style='background:#f0f7ff,border:1px solid #bdd7f0,border-radius:8px,padding:14px 16px'><strong style='color:#1a3a5c'>Parent Information</strong><br><br>You can track your child's progress, view assignment feedback, and see grades from the Moodle parent portal. Lessons are released unit by unit after teacher review. For questions about course content contact the Academic Director. For portal access contact the school office.</div>",,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,Language Arts,Language Arts,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Language Arts,Language Arts — Overview and Pacing,"<div style='background:#f9f9f9,border-left:4px solid #E4002B,padding:12px 16px,margin-bottom:8px'><strong style='color:#E4002B'>LNG4</strong> · Grade 4 Language (2023) — Oral Communication, Reading, Writing, Media Literacy</div><div style='background:#fff8f0,border:1px solid #E4002B33,border-radius:8px,padding:12px 16px,margin-bottom:12px'><strong style='color:#E4002B'>Suggested Term Pacing — Language Arts</strong><table style='width:100%,margin-top:8px,font-size:12px,border-collapse:collapse'><tr><td style='padding:3px 8px,color:#E4002B,font-weight:bold'>Unit 1</td><td style='padding:3px 8px'>Oral Communication</td><td style='padding:3px 8px,color:#666'>September · Weeks 1–4</td></tr><tr><td style='padding:3px 8px,color:#E4002B,font-weight:bold'>Unit 2</td><td style='padding:3px 8px'>Reading Comprehension</td><td style='padding:3px 8px,color:#666'>October · Weeks 5–8</td></tr><tr><td style='padding:3px 8px,color:#E4002B,font-weight:bold'>Unit 3</td><td style='padding:3px 8px'>Writing</td><td style='padding:3px 8px,color:#666'>November–December · Weeks 9–12</td></tr><tr><td style='padding:3px 8px,color:#E4002B,font-weight:bold'>Unit 4</td><td style='padding:3px 8px'>Media Literacy</td><td style='padding:3px 8px,color:#666'>January · Weeks 13–16</td></tr></table></div>",,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Language Arts,UNIT 1: Oral Communication,"<div style='background:#1a1a1a,color:#fff,padding:14px 18px,border-left:5px solid #E4002B'><div style='color:#E4002B,font-size:11px,font-weight:bold,letter-spacing:2px'>✦ LNG4 · UNIT 1</div><div style='font-size:17px,font-weight:bold,margin:4px 0'>Oral Communication</div><div style='color:#aaa,font-size:12px'>Grade 4 Language (2023) — Oral Communication, Reading, Writing, Media Literacy</div><div style='color:#E4002B,font-size:11px,margin-top:5px'>📅 September · Weeks 1–4</div></div>",,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
page,Language Arts,Lesson 1 — Active Listening Skills,"<div style='font-family:Arial,sans-serif,max-width:860px'><p style='color:#555,font-size:14px,line-height:1.7'>Students explore what it truly means to listen — not just hear — through modelled examples and structured practice activities.</p><h3 style='color:#E4002B,border-left:4px solid #E4002B,padding-left:10px,margin:14px 0 8px'>Learning Objectives</h3><ul style='line-height:1.9,color:#333'><li>Identify features of effective listening (OME: 1.3)</li><li>Demonstrate attentive body language and verbal acknowledgement cues</li><li>Distinguish listening for information from listening for enjoyment</li></ul><h3 style='color:#1a1a1a,margin:14px 0 8px'>Lesson Content</h3><p style='color:#333,line-height:1.75'>Active listening is a skill that requires deliberate practice. When we truly listen, we make eye contact with the speaker, keep our body still and facing them, and focus our mind on their words rather than planning our own response. These habits signal respect and lead to better comprehension.</p><p style='color:#333,line-height:1.75'>There are three distinct types of listening. Listening for information means capturing specific facts or instructions accurately — like following a recipe or taking notes from a teacher. Listening for enjoyment means relaxing into a story or piece of music without needing to remember every detail. Listening critically means evaluating whether an argument makes sense and whether the evidence is convincing.</p><p style='color:#333,line-height:1.75'>Good listeners use two active strategies to show they understood. Paraphrasing means restating the speaker's idea in your own words: 'So what you mean is...' Clarifying questions invite the speaker to explain more: 'Can you give me an example of that?' Both strategies strengthen understanding and make the speaker feel heard.</p><div style='background:#f0f7ff,border:1px solid #bdd7f0,border-radius:6px,padding:10px 14px,margin-top:14px'><strong style='color:#1a3a5c,font-size:13px'>Differentiation Notes</strong><br><span style='color:#c00'>Below grade level:</span> Draw or sketch while listening as a processing support tool<br><span style='color:#444'>On grade level:</span> Standard lesson — practise pair listening with structured feedback<br><span style='color:#0a5'>Above grade level:</span> Peer-coach a classmate and provide written observations of their listening behaviours</div></div>",,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
page,Language Arts,Lesson 2 — Speaking Clearly and Purposefully,"<div style='font-family:Arial,sans-serif,max-width:860px'><p style='color:#555,font-size:14px,line-height:1.7'>Students learn to adapt their voice, pace, and vocabulary to suit different audiences and speaking purposes.</p><h3 style='color:#E4002B,border-left:4px solid #E4002B,padding-left:10px,margin:14px 0 8px'>Learning Objectives</h3><ul style='line-height:1.9,color:#333'><li>Use appropriate volume, tone, and pace (OME: 1.4)</li><li>Organize ideas using a speaking frame before presenting</li><li>Respond to questions and comments respectfully and on topic</li></ul><h3 style='color:#1a1a1a,margin:14px 0 8px'>Lesson Content</h3><p style='color:#333,line-height:1.75'>Every speaking situation requires us to make choices about HOW we communicate, not just WHAT we say. Volume means how loud or soft we speak — a library whisper versus an outdoor announcement. Tone conveys emotion — encouraging, serious, playful. Pace means how fast or slow we speak — rushing loses the audience, speaking too slowly loses their attention.</p><p style='color:#333,line-height:1.75'>Different contexts demand different speaking approaches. Presenting to the class requires clear structure, eye contact, and a projected voice. Explaining something to a younger student calls for simpler vocabulary and a slower pace. Chatting with a friend is informal and spontaneous. Skilled speakers shift naturally between these modes.</p><p style='color:#333,line-height:1.75'>Before speaking in any formal situation, use a simple planning frame: 'My main point is... My supporting reasons are... My conclusion is...' This three-part structure prevents rambling, helps the audience follow your logic, and signals confidence. Even thirty seconds of planning dramatically improves the quality of spoken communication.</p><div style='background:#f0f7ff,border:1px solid #bdd7f0,border-radius:6px,padding:10px 14px,margin-top:14px'><strong style='color:#1a3a5c,font-size:13px'>Differentiation Notes</strong><br><span style='color:#c00'>Below grade level:</span> Provide a sentence-frame card to reference while speaking<br><span style='color:#444'>On grade level:</span> Record yourself speaking for 60 seconds and self-assess using three criteria<br><span style='color:#0a5'>Above grade level:</span> Debate a classmate on an assigned topic using formal speaking conventions and structured turns</div></div>",,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
page,Language Arts,Lesson 3 — Group Discussion and Debate,"<div style='font-family:Arial,sans-serif,max-width:860px'><p style='color:#555,font-size:14px,line-height:1.7'>Students practise the art of respectful disagreement — building on others' ideas and expressing reasoned opinions with supporting evidence.</p><h3 style='color:#E4002B,border-left:4px solid #E4002B,padding-left:10px,margin:14px 0 8px'>Learning Objectives</h3><ul style='line-height:1.9,color:#333'><li>Follow agreed-upon rules for discussion (OME: 1.6)</li><li>Build on classmates' ideas using 'I agree/disagree because...' structures</li><li>Express an opinion with at least two supporting reasons</li></ul><h3 style='color:#1a1a1a,margin:14px 0 8px'>Lesson Content</h3><p style='color:#333,line-height:1.75'>A productive discussion is like a game of catch — each participant listens fully before throwing their contribution into the conversation, and everyone aims at the same shared goal of understanding. Effective discussants use phrases like 'Building on what you said...' or 'I see it differently because...' to show they were genuinely listening before they responded.</p><p style='color:#333,line-height:1.75'>Debate is structured disagreement with a specific format. Two positions are assigned — students may argue a view they do not personally hold. The goal is not to 'win' but to practise reasoning with evidence, anticipating counterarguments, and expressing ideas under pressure. These are skills every profession requires.</p><p style='color:#333,line-height:1.75'>Discussion agreements — sometimes called norms or ground rules — make conversation safe and productive. Common norms include: one person speaks at a time, all ideas are treated with respect, we challenge ideas, not people, we use evidence rather than emotion alone. When students co-create these norms, they are far more likely to honour them.</p><div style='background:#fff8f0,border-left:5px solid #E4002B,padding:12px 16px,margin-top:18px,border-radius:0 6px 6px 0'><p style='margin:0 0 4px'><strong style='color:#E4002B'>✦ Tarbiyah Checkpoint</strong> &nbsp,<strong>Adl — Justice in Speech</strong> — <em>عدل</em></p><p style='margin:6px 0,color:#333'>When we speak, we must be fair, honest, and careful. Islam teaches that our words are a form of Amanah — a trust. We are accountable for the impact our words have on others' hearts, whether we intended harm or not. Speaking with Adl means choosing truthful, measured, and fair words even when it is difficult.</p><p style='margin:4px 0,color:#666,font-style:italic,font-size:12px'>Surah An-Nisa 4:135 — 'Be persistently standing firm in justice, as witnesses for Allah'</p><p style='font-size:11px,color:#999,margin:4px 0 0'>See also: Math Unit 1 Lesson 3 — Adl in Division</p></div><div style='background:#f0f7ff,border:1px solid #bdd7f0,border-radius:6px,padding:10px 14px,margin-top:14px'><strong style='color:#1a3a5c,font-size:13px'>Differentiation Notes</strong><br><span style='color:#c00'>Below grade level:</span> Provide a discussion sentence-starter card with six prompts to choose from<br><span style='color:#444'>On grade level:</span> Standard discussion — use a physical talking piece to enforce turn-taking<br><span style='color:#0a5'>Above grade level:</span> Take on the 'devil's advocate' role: argue the opposite of your genuine view for the full discussion</div></div>",,0,2,1,,,,,,,,,,,,,,,
quiz,Language Arts,Unit 1 Quiz — Oral Communication,"<div style='font-family:Arial,sans-serif,background:#f9f9f9,border:1px solid #ddd,border-radius:8px,padding:16px'><p style='color:#888,font-size:12px,margin:0 0 10px'>5 auto-marked questions loaded from Moodle Question Bank. Import <strong>Grade4_Questions.xml</strong> to activate auto-marking.</p><h3 style='color:#E4002B,margin:0 0 10px'>Preview — Unit 1 Quiz — Oral Communication</h3><ol><li style='margin-bottom:10px'><strong>What is the most important habit of an active listener?</strong><ul style='margin-top:4px'><li>Preparing your own response while the other person speaks</li><li>Making eye contact, focusing fully, and not interrupting <span style='color:green,font-weight:bold'>✓</span></li><li>Writing down every word the speaker says</li><li>Nodding continuously throughout the conversation</li></ul></li><li style='margin-bottom:10px'><strong>'Pace' when speaking refers to:</strong><ul style='margin-top:4px'><li>How loudly or softly you speak</li><li>The emotion conveyed through your voice</li><li>How fast or slow you speak <span style='color:green,font-weight:bold'>✓</span></li><li>The specific words you choose</li></ul></li><li style='margin-bottom:10px'><strong>When disagreeing in a group discussion, the best approach is:</strong><ul style='margin-top:4px'><li>Interrupt immediately to correct the error</li><li>Listen fully, then respond with evidence and respect <span style='color:green,font-weight:bold'>✓</span></li><li>Stay silent to avoid conflict</li><li>Write a note instead of speaking aloud</li></ul></li><li style='margin-bottom:10px'><strong>A 'discussion norm' is:</strong><ul style='margin-top:4px'><li>A mark given for speaking skills</li><li>An agreed-upon behaviour that makes discussion safe and productive <span style='color:green,font-weight:bold'>✓</span></li><li>A rule set only by the teacher</li><li>A formal debate format</li></ul></li><li style='margin-bottom:10px'><strong>'Paraphrasing' a speaker means:</strong><ul style='margin-top:4px'><li>Repeating their exact words back to them</li><li>Ignoring their point and making your own</li><li>Restating their idea in your own words to confirm understanding <span style='color:green,font-weight:bold'>✓</span></li><li>Disagreeing politely with their argument</li></ul></li></ol></div>",50,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assign,Language Arts,Unit 1 Assignment — Oral Presentation,"<div style='font-family:Arial,sans-serif,max-width:860px'><div style='background:#fff3f3,border-left:4px solid #E4002B,padding:12px 16px,margin-bottom:14px'><strong>Assignment Instructions</strong><br>Prepare and deliver a 3-minute oral presentation on a topic of your choice. Required: (1) A hook opening that grabs attention, (2) Two main points each supported by one fact or example, (3) A conclusion restating your main idea. Use cue cards — do not read word for word. Your teacher will assess using the rubric below.</div><h3 style='color:#E4002B,margin:12px 0 6px'>Achievement Chart Rubric — Ontario Growing Success</h3><table border='1' cellpadding='7' style='border-collapse:collapse,width:100%,font-size:13px'><tr style='background:#E4002B,color:#fff'><th>Category</th><th>Level 4 — 80–100%</th><th>Level 3 — 70–79%</th><th>Level 2 — 60–69%</th><th>Level 1 — 50–59%</th></tr><tr style='background:#ffffff'><td><strong>Knowledge & Understanding</strong></td><td>Demonstrates thorough, accurate knowledge, all information correct and clearly researched</td><td>Demonstrates considerable knowledge, most information accurate</td><td>Demonstrates some knowledge, some inaccuracies present</td><td>Demonstrates limited knowledge, significant inaccuracies</td></tr><tr style='background:#f5f5f5'><td><strong>Thinking & Inquiry</strong></td><td>Ideas are original and thoughtfully organized, clear evidence of planning and preparation</td><td>Ideas organized logically, adequate evidence of planning</td><td>Some organization, limited evidence of planning</td><td>Disorganized, little evidence of preparation</td></tr><tr style='background:#ffffff'><td><strong>Communication</strong></td><td>Speaks with confidence, clear voice, appropriate pace and volume throughout, strong eye contact</td><td>Speaks clearly and confidently for most of presentation, good eye contact</td><td>Some clarity, pace or volume inconsistent, limited eye contact</td><td>Difficult to hear or follow, minimal eye contact</td></tr><tr style='background:#f5f5f5'><td><strong>Application</strong></td><td>Effectively uses cue cards, body language, and audience engagement throughout</td><td>Uses cue cards appropriately, adequate body language</td><td>Over-relies on cue cards, limited body language</td><td>Reads directly from notes, no audience engagement</td></tr></table><p style='color:#999,font-size:11px,margin-top:10px'>Content hidden by default. Academic Director review required before student access.</p></div>",100,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
forum,Language Arts,Unit 1 Discussion — Oral Communication,"<div style='font-family:Arial,sans-serif'><h3 style='color:#E4002B'>Discussion Prompt</h3><blockquote style='border-left:4px solid #E4002B,padding:10px 16px,background:#fff8f8,font-style:italic,font-size:15px,margin:0 0 12px'>Think of a time when someone's words made you feel really good — or really hurt. What made the difference? How can we use our words more carefully every day?</blockquote><div style='background:#f5f5f5,border-radius:6px,padding:12px 16px'><strong>Facilitation Notes for Teacher</strong><br>Encourage personal reflection. Ask students to share their own story, not someone else's. Connect to Tarbiyah: our words are an Amanah (trust) and we are accountable for their impact on others' hearts, whether we intended harm or not. Sensitive topic — model openness carefully.</div></div>",,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Language Arts,UNIT 2: Reading Comprehension,"<div style='background:#1a1a1a,color:#fff,padding:14px 18px,border-left:5px solid #E4002B'><div style='color:#E4002B,font-size:11px,font-weight:bold,letter-spacing:2px'>✦ LNG4 · UNIT 2</div><div style='font-size:17px,font-weight:bold,margin:4px 0'>Reading Comprehension</div><div style='color:#aaa,font-size:12px'>Grade 4 Language (2023) — Oral Communication, Reading, Writing, Media Literacy</div><div style='color:#E4002B,font-size:11px,margin-top:5px'>📅 October · Weeks 5–8</div></div>",,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
page,Language Arts,Lesson 4 — Reading Strategies,"<div style='font-family:Arial,sans-serif,max-width:860px'><p style='color:#555,font-size:14px,line-height:1.7'>Students build a toolkit of before, during, and after reading strategies that strong readers use automatically.</p><h3 style='color:#E4002B,border-left:4px solid #E4002B,padding-left:10px,margin:14px 0 8px'>Learning Objectives</h3><ul style='line-height:1.9,color:#333'><li>Apply prediction, questioning, and making connections (OME: 2.3)</li><li>Identify main idea and key supporting details</li><li>Monitor comprehension and apply fix-up strategies when meaning breaks down</li></ul><h3 style='color:#1a1a1a,margin:14px 0 8px'>Lesson Content</h3><p style='color:#333,line-height:1.75'>Strong readers are active readers. Before reading, they preview the title, headings, and images to make predictions about content. During reading, they ask questions like 'Why did this happen?' and 'What does this word mean?' and 'Does this make sense?' After reading, they summarize the key ideas and reflect on what they learned or felt.</p><p style='color:#333,line-height:1.75'>Making connections deepens comprehension in three directions. Text-to-self connections link the reading to your own life experiences. Text-to-text connections compare this text to another book, article, or film you know. Text-to-world connections link the reading to current events or broader human experience. All three types strengthen memory and meaning.</p><p style='color:#333,line-height:1.75'>When comprehension breaks down — when you reach the end of a paragraph and realize you have no idea what you just read — fix-up strategies help. Re-read the confusing section more slowly. Look for context clues in the surrounding sentences. Look up unfamiliar vocabulary. Break a long sentence into its parts. Struggling through confusion is normal and productive — it is not a signal to give up.</p><div style='background:#f0f7ff,border:1px solid #bdd7f0,border-radius:6px,padding:10px 14px,margin-top:14px'><strong style='color:#1a3a5c,font-size:13px'>Differentiation Notes</strong><br><span style='color:#c00'>Below grade level:</span> Use a before/during/after reading graphic organizer with sentence starters<br><span style='color:#444'>On grade level:</span> Standard lesson with guided practice text and partner strategy-sharing<br><span style='color:#0a5'>Above grade level:</span> Keep a metacognitive reading log tracking every strategy used across a full book</div></div>",,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
page,Language Arts,Lesson 5 — Text Forms and Features,"<div style='font-family:Arial,sans-serif,max-width:860px'><p style='color:#555,font-size:14px,line-height:1.7'>Students discover that different texts are built differently — and that recognizing structure helps them read more efficiently and purposefully.</p><h3 style='color:#E4002B,border-left:4px solid #E4002B,padding-left:10px,margin:14px 0 8px'>Learning Objectives</h3><ul style='line-height:1.9,color:#333'><li>Identify and describe common text forms: fiction, non-fiction, poetry, procedural (OME: 2.1)</li><li>Recognize text features: headings, captions, sidebars, glossary, index</li><li>Compare the organizational structure of fiction and non-fiction texts</li></ul><h3 style='color:#1a1a1a,margin:14px 0 8px'>Lesson Content</h3><p style='color:#333,line-height:1.75'>Fiction texts tell stories about imaginary or imagined events and characters. They follow a narrative structure: setting, characters, conflict, rising action, climax, resolution. Non-fiction texts communicate factual information about real subjects. They use organizational patterns like compare and contrast, cause and effect, problem and solution, or chronological sequence.</p><p style='color:#333,line-height:1.75'>Non-fiction texts use specialized features to help readers navigate efficiently. A table of contents lists what is inside and where. Headings divide the text into clearly labelled sections. Captions explain photographs and diagrams. A glossary defines technical vocabulary. An index helps you locate specific information without reading the whole text. Recognizing these features is a reading skill in itself.</p><p style='color:#333,line-height:1.75'>Reading poetry requires a different stance than reading prose. Poets compress meaning into fewer words, use line breaks and white space deliberately, and often communicate through images and sound rather than direct statement. Reading a poem once is almost never enough — each re-reading reveals new layers of meaning that were invisible the first time through.</p><div style='background:#f0f7ff,border:1px solid #bdd7f0,border-radius:6px,padding:10px 14px,margin-top:14px'><strong style='color:#1a3a5c,font-size:13px'>Differentiation Notes</strong><br><span style='color:#c00'>Below grade level:</span> Sort a set of printed text samples by type using visual sorting cards with a partner<br><span style='color:#444'>On grade level:</span> Standard lesson — complete a text features scavenger hunt in a non-fiction book<br><span style='color:#0a5'>Above grade level:</span> Create a multi-text comparison chart across three different text forms on the same topic</div></div>",,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,
