type,section,name,intro,grade,visible,completion,completionview,timeopen,timeclose
section,Python,Python,,,1,0,0,,
label,Python,Python Programming Overview,<div><h2>Welcome to Python</h2><p>Python Programming: Project-Based Learning</p></div>,,1,0,0,,
label,Python,Introduction: Welcome to Python — Your Gateway to Big Tech,<div><h3>Introduction: Welcome to Python — Your Gateway to Big Tech</h3></div>,,1,0,0,,
page,Python,Lesson 1 — Core Concepts: Python Ecosystem,"<div><h3>Learning Objectives</h3><p>Set up a fully working Python development environment, understand the Python ecosystem, write and run your first Python script.</p><h3>Core Concepts: Python Ecosystem</h3><p>Python is the #1 language at Google, Netflix, Amazon, Instagram & Spotify. Key Concepts: What is Python? The ecosystem: pip, virtual environments. Running Python: terminal scripts, Jupyter notebooks.</p></div>",,0,2,1,,
page,Python,Lesson 2 — Coding Practice: Setup Verification,"<div><h3>Coding Practice: Setup Verification</h3><p>Complete exercises: Setup Verification, Personal Intro Script, Explore pip.</p></div>",,0,2,1,,
page,Python,Lesson 3 — Reference Readings,"<div><h3>Reference Readings</h3><p>Review the Python Official Tutorial, How Amazon Uses Python (AWS Blog), and Real Python: First Steps.</p></div>",,0,2,1,,
quiz,Python,Introduction Quiz — Welcome to Python,<div><p>5 auto-marked questions loaded from Moodle Question Bank.</p></div>,50,0,2,1,,
assign,Python,Dev Environment Showcase (Amazon Theme),<div><p><strong>Instructions</strong><br>Every Amazon engineer starts Day 1 by setting up their environment exactly right. Prove yours is production-ready.</p></div>,100,0,1,0,,
forum,Python,Introduction Discussion,<div><h3>Discussion Prompt</h3><blockquote>Think of a problem in your daily life that repeats. How could a Python script automate or simplify it?</blockquote></div>,,0,1,0,,
label,Python,"Unit 1: Python Basics: Variables, Data Types & Operators","<div><h3>Unit 1: Python Basics: Variables, Data Types & Operators</h3></div>",,1,0,0,,
page,Python,Lesson 1 — Core Concepts: Variables & Data Types,"<div><h3>Learning Objectives</h3><p>Declare and use variables, work with int, float, str, bool, apply operators, use f-string formatting.</p><h3>Core Concepts: Variables & Data Types</h3><p>Amazon’s recommendation engine uses core data types: IDs (int), prices (float), names (str), availability (bool). Variables, arithmetic operators, comparison operators, f-strings.</p></div>",,0,2,1,,
page,Python,Lesson 2 — Coding Practice: Variables,"<div><h3>Coding Practice: Variables</h3><p>Complete exercises: Product Listing, Price Calculator, String Manipulator.</p></div>",,0,2,1,,
page,Python,Lesson 3 — Reference Readings: Built-in Types,"<div><h3>Reference Readings: Built-in Types</h3><p>Review Python Built-in Types, Variables in Python, and f-Strings.</p></div>",,0,2,1,,
quiz,Python,Unit 1 Quiz — Python Basics,<div><p>5 auto-marked questions loaded from Moodle Question Bank.</p></div>,50,0,2,1,,
assign,Python,Amazon Product Price Tracker,<div><p><strong>Instructions</strong><br>Amazon’s pricing team monitors price changes. Build a mini price-tracker simulating this logic with variables and f-strings.</p></div>,100,0,1,0,,
forum,Python,Unit 1 Discussion,"<div><h3>Discussion Prompt</h3><blockquote>If you were designing a Python-based product catalog, what data types would you assign to: rating, number of reviews, prime eligibility, seller name, and delivery date?</blockquote></div>",,0,1,0,,
label,Python,Unit 2: Control Flow: Conditions & Loops,<div><h3>Unit 2: Control Flow: Conditions & Loops</h3></div>,,1,0,0,,
page,Python,Lesson 1 — Core Concepts: Branching & Repetition,"<div><h3>Learning Objectives</h3><p>Write if/elif/else statements, build for and while loops, use break and continue.</p><h3>Core Concepts: Branching & Repetition</h3><p>Google processes 8.5 billion searches a day using conditions and loops. Learn if / elif / else, nested conditions, for loops, while loops, break, and continue.</p></div>",,0,2,1,,
page,Python,Lesson 2 — Coding Practice: Control Flow,"<div><h3>Coding Practice: Control Flow</h3><p>Complete exercises: Search Filter, Number Guesser, FizzBuzz — Google Edition.</p></div>",,0,2,1,,
page,Python,Lesson 3 — Reference Readings: Control Flow,"<div><h3>Reference Readings: Control Flow</h3><p>Review Python Control Flow, Python for Loops, and List Comprehensions in Python.</p></div>",,0,2,1,,
quiz,Python,Unit 2 Quiz — Control Flow,<div><p>5 auto-marked questions loaded from Moodle Question Bank.</p></div>,50,0,2,1,,
assign,Python,Search Query Analyzer (Google Theme),<div><p><strong>Instructions</strong><br>The Google Search Quality team needs a script to analyze a batch of queries and produce a quality report using loops and conditions.</p></div>,100,0,1,0,,
forum,Python,Unit 2 Discussion,<div><h3>Discussion Prompt</h3><blockquote>Google’s spam filter uses conditions. Design a simple rule-based spam classifier in pseudocode with at least 5 conditions.</blockquote></div>,,0,1,0,,
label,Python,Unit 3: Functions & Modules,<div><h3>Unit 3: Functions & Modules</h3></div>,,1,0,0,,
page,Python,Lesson 1 — Core Concepts: Functions,"<div><h3>Learning Objectives</h3><p>Define and call functions with parameters and return values. Use default and keyword arguments. Understand variable scope.</p><h3>Core Concepts: Functions</h3><p>Netflix’s recommendation system is built as hundreds of specialized functions. Learn parameters vs arguments, return values, scope (LEGB), docstrings, and modules.</p></div>",,0,2,1,,
page,Python,Lesson 2 — Coding Practice: Functions,"<div><h3>Coding Practice: Functions</h3><p>Complete exercises: Pure Functions, Default Args, Module Explorer.</p></div>",,0,2,1,,
page,Python,Lesson 3 — Reference Readings: Functions,"<div><h3>Reference Readings: Functions</h3><p>Review Python Functions, Defining Your Own Python Function, and Netflix Tech Blog: Python at Netflix.</p></div>",,0,2,1,,
quiz,Python,Unit 3 Quiz — Functions & Modules,<div><p>5 auto-marked questions loaded from Moodle Question Bank.</p></div>,50,0,2,1,,
assign,Python,Movie Recommendation Engine (Netflix Theme),<div><p><strong>Instructions</strong><br>Build a simplified version of Netflix’s recommendation logic using Python functions with docstrings and return values.</p></div>,100,0,1,0,,
forum,Python,Unit 3 Discussion,<div><h3>Discussion Prompt</h3><blockquote>How would you refactor code you wrote in Unit 1 or 2 into 3 smaller functions following the single-responsibility principle?</blockquote></div>,,0,1,0,,
label,Python,"Unit 4: Data Structures: Lists, Dicts, Tuples & Sets","<div><h3>Unit 4: Data Structures: Lists, Dicts, Tuples & Sets</h3></div>",,1,0,0,,
page,Python,Lesson 1 — Core Concepts: Data Structures,"<div><h3>Learning Objectives</h3><p>Create and manipulate lists, dictionaries, tuples, and sets. Choose the right data structure for a given problem.</p><h3>Core Concepts: Data Structures</h3><p>Spotify manages 100M songs. Playlists are lists, user profiles are dictionaries, artist genres are sets. Learn lists, dicts, tuples, sets, and nesting.</p></div>",,0,2,1,,
page,Python,Lesson 2 — Coding Practice: Data Structures,"<div><h3>Coding Practice: Data Structures</h3><p>Complete exercises: Playlist Builder, User Profile, Top Charts.</p></div>",,0,2,1,,
page,Python,Lesson 3 — Reference Readings: Data Structures,"<div><h3>Reference Readings: Data Structures</h3><p>Review Python Data Structures, Dictionaries in Python, and Spotify Engineering Blog.</p></div>",,0,2,1,,
