type,section,name,intro,grade,visible,completion,completionview,timeopen,timeclose
section,Course Overview,Course Overview,,,1,0,0,,
label,Course Overview,Python Programming Overview,<div><h2>Welcome to Python</h2><p>Python Programming: Project-Based Learning</p></div>,,1,0,0,,
section,Introduction,Introduction,,,1,0,0,,
label,Introduction,Introduction: Welcome to Python — Your Gateway to Big Tech,<div><h3>Introduction: Welcome to Python — Your Gateway to Big Tech</h3></div>,,1,0,0,,
page,Introduction,Lesson 1 — Core Concepts: Python Ecosystem,"<div><h3>Learning Objectives</h3><p>Set up a fully working Python development environment, understand the Python ecosystem, write and run your first Python script.</p><h3>Core Concepts: Python Ecosystem</h3><p>Python is the #1 language at Google, Netflix, Amazon, Instagram & Spotify. Key Concepts: What is Python? The ecosystem: pip, virtual environments. Running Python: terminal scripts, Jupyter notebooks.</p></div>",,0,2,1,,
page,Introduction,Lesson 2 — Coding Practice: Setup Verification,"<div><h3>Coding Practice: Setup Verification</h3><p>Complete exercises: Setup Verification, Personal Intro Script, Explore pip.</p></div>",,0,2,1,,
page,Introduction,Lesson 3 — Reference Readings,"<div><h3>Reference Readings</h3><p>Review the Python Official Tutorial, How Amazon Uses Python (AWS Blog), and Real Python: First Steps.</p></div>",,0,2,1,,
quiz,Introduction,Introduction Quiz — Welcome to Python,<div><p>5 auto-marked questions loaded from Moodle Question Bank.</p></div>,50,0,2,1,,
assign,Introduction,Dev Environment Showcase (Amazon Theme),<div><p><strong>Instructions</strong><br>Every Amazon engineer starts Day 1 by setting up their environment exactly right. Prove yours is production-ready.</p></div>,100,0,1,0,,
forum,Introduction,Introduction Discussion,<div><h3>Discussion Prompt</h3><blockquote>Think of a problem in your daily life that repeats. How could a Python script automate or simplify it?</blockquote></div>,,0,1,0,,
section,Unit 1,Unit 1,,,1,0,0,,
label,Unit 1,"Unit 1: Python Basics: Variables, Data Types & Operators","<div><h3>Unit 1: Python Basics: Variables, Data Types & Operators</h3></div>",,1,0,0,,
page,Unit 1,Lesson 1 — Core Concepts: Variables & Data Types,"<div><h3>Learning Objectives</h3><p>Declare and use variables, work with int, float, str, bool, apply operators, use f-string formatting.</p><h3>Core Concepts: Variables & Data Types</h3><p>Amazon’s recommendation engine uses core data types: IDs (int), prices (float), names (str), availability (bool). Variables, arithmetic operators, comparison operators, f-strings.</p></div>",,0,2,1,,
page,Unit 1,Lesson 2 — Coding Practice: Variables,"<div><h3>Coding Practice: Variables</h3><p>Complete exercises: Product Listing, Price Calculator, String Manipulator.</p></div>",,0,2,1,,
page,Unit 1,Lesson 3 — Reference Readings: Built-in Types,"<div><h3>Reference Readings: Built-in Types</h3><p>Review Python Built-in Types, Variables in Python, and f-Strings.</p></div>",,0,2,1,,
quiz,Unit 1,Unit 1 Quiz — Python Basics,<div><p>5 auto-marked questions loaded from Moodle Question Bank.</p></div>,50,0,2,1,,
assign,Unit 1,Amazon Product Price Tracker,<div><p><strong>Instructions</strong><br>Amazon’s pricing team monitors price changes. Build a mini price-tracker simulating this logic with variables and f-strings.</p></div>,100,0,1,0,,
forum,Unit 1,Unit 1 Discussion,"<div><h3>Discussion Prompt</h3><blockquote>If you were designing a Python-based product catalog, what data types would you assign to: rating, number of reviews, prime eligibility, seller name, and delivery date?</blockquote></div>",,0,1,0,,
section,Unit 2,Unit 2,,,1,0,0,,
label,Unit 2,Unit 2: Control Flow: Conditions & Loops,<div><h3>Unit 2: Control Flow: Conditions & Loops</h3></div>,,1,0,0,,
page,Unit 2,Lesson 1 — Core Concepts: Branching & Repetition,"<div><h3>Learning Objectives</h3><p>Write if/elif/else statements, build for and while loops, use break and continue.</p><h3>Core Concepts: Branching & Repetition</h3><p>Google processes 8.5 billion searches a day using conditions and loops. Learn if / elif / else, nested conditions, for loops, while loops, break, and continue.</p></div>",,0,2,1,,
page,Unit 2,Lesson 2 — Coding Practice: Control Flow,"<div><h3>Coding Practice: Control Flow</h3><p>Complete exercises: Search Filter, Number Guesser, FizzBuzz — Google Edition.</p></div>",,0,2,1,,
page,Unit 2,Lesson 3 — Reference Readings: Control Flow,"<div><h3>Reference Readings: Control Flow</h3><p>Review Python Control Flow, Python for Loops, and List Comprehensions in Python.</p></div>",,0,2,1,,
